ID,Gene,Chromosome,Start,End,Strand,Length,BioType,Description,C_fSC_1,C_fSC_2,C_fSC_3,C_fSC_4,C_AtSC_1,C_AtSC_2,C_AtSC_3,C_AtSC_4,C_LjSC_1,C_LjSC_2,C_LjSC_3,C_LjSC_4,C_mock_1,C_mock_2,C_mock_3,C_mock_4,fullSC_vs_Mock_pvalue,fullSC_vs_Mock_padj,fullSC_vs_Mock_log2FoldChange,AtSC_vs_Mock_pvalue,AtSC_vs_Mock_padj,AtSC_vs_Mock_log2FoldChange,LjSC_vs_Mock_pvalue,LjSC_vs_Mock_padj,LjSC_vs_Mock_log2FoldChange,fullSC_vs_AtSC_pvalue,fullSC_vs_AtSC_padj,fullSC_vs_AtSC_log2FoldChange,fullSC_vs_LjSC_pvalue,fullSC_vs_LjSC_padj,fullSC_vs_LjSC_log2FoldChange,AtSC_vs_LjSC_pvalue,AtSC_vs_LjSC_padj,AtSC_vs_LjSC_log2FoldChange,cl
AT3G62150.3,ABCB21,3,23008755,23014030,-,5275,protein_coding,ABC transporter B family member 21 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1Q9],6.955869382270768,7.317386263132099,7.9583976695845156,7.666102069286618,6.851977541168627,7.9483749407729984,7.983378352118981,6.861363954871877,8.600788013312176,8.553583318608304,7.879875660520121,7.919092761702037,6.972659927284593,5.764478525202583,7.275519265145792,7.55968986063766,2.9963887743159968e-12,2.4786585844879444e-8,3.1766465917582773,4.5941791009953245e-12,9.712094619504116e-8,3.0930354685335124,2.868374463111255e-13,1.2127487230034387e-8,3.5397027903656983,0.6808967535508103,1,0.08361112322476484,0.11665946118555087,1,-0.3630561986074211,0.04761512646659511,0.7211170297957806,-0.44666732183218594,8
AT2G25730.2,NA,2,10956263,10972951,-,16688,protein_coding,unknown protein; Has 157 Blast hits to 144 proteins in 62 species: Archae - 0; Bacteria - 0; Metazoa - 101; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink). [Source:TAIR;Acc:AT2G25730],8.21271388451985,8.91314052739385,8.94669002736272,9.254289913659846,8.182094295292359,8.707499608276995,8.925479273845346,8.471090764303858,8.757256957781692,8.406351286958854,8.473734270915253,8.250471314133943,8.92688258728515,7.5215822068605425,9.37841729032218,9.08079308203657,6.086535760656946e-12,3.751566741847208e-8,2.070945577273008,1.3546981094274007e-8,2.7274588603138333e-5,1.6733550321179582,2.298419535011826e-4,0.03724537496682098,1.2042092414392789,0.017790279796356067,0.40111572451104677,0.3975905451550497,9.417125584505052e-6,0.0010062871338871113,0.8667363358337292,0.013817692680123986,0.3662953617743441,0.4691457906786795,2
AT3G27380.2,SDH2-1,3,10129610,10132759,-,3149,protein_coding,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 1, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q8LBZ7]",7.872900190964206,7.7720927700691735,7.624669389052775,7.551693709906789,7.788172532027492,7.723597163295053,7.4366319058498584,7.349788854213984,7.598433836803155,7.542696900721029,7.683724967051829,7.619212888122017,7.970428549799213,6.2317376694452715,7.581789437573582,7.793109156109975,5.001544402201593e-11,2.1579663477738993e-7,2.366707088811944,1.334496322238844e-10,4.701875375354861e-7,2.280466543500324,1.5848430001907624e-11,1.5772383007632564e-7,2.6102924847382143,0.6311751258495553,1,0.08624054531162016,0.2465395137549363,1,-0.24358539592627038,0.10478708608213919,0.9704590225683877,-0.32982594123789055,8
AT4G31970.1,CYP82C2,4,15462350,15464563,+,2213,protein_coding,Cytochrome P450 82C2 [Source:UniProtKB/Swiss-Prot;Acc:O49394],3.856799072922849,4.114290637229479,3.5460934914943465,3.6529041332617,4.446280468899362,4.092687282264952,3.8591912044878534,3.739413810380726,3.7438539063019873,3.5599711935251266,3.6479329748365705,3.895550927683108,6.660116056683314,5.999661640442323,5.593941235829513,5.93083482587766,6.741325784772316e-9,1.5308486437357174e-5,-5.868717463386325,8.945460885012009e-6,0.004764696983304484,-4.212838802816628,5.422564969290427e-6,0.0038858652017220215,-4.8968195754697446,0.01690445978248234,0.3920087994423295,-1.6558786605696965,0.2664309377453935,1,-0.9718978879165798,0.37683698485877654,1,0.6839807726531166,9
AT1G06410.2,TPS7,1,1954676,1958756,+,4080,protein_coding,TPS7 [Source:UniProtKB/TrEMBL;Acc:A0A178WH64],7.612139905968606,7.9778130853496565,8.220272330380801,7.262012661753999,8.040604553111168,8.199735146032976,8.41196848878632,7.750513515651387,8.799230678285447,9.017790302353312,8.2119017347803,8.338523579358126,6.726342364970476,5.782444124330935,8.012477940778977,7.972418123818968,7.1566074056469955e-9,1.5438949156202264e-5,3.364058712815077,1.2040974367585134e-11,1.2727309906537487e-7,3.879354169422412,1.8652297785752796e-11,1.5772383007632564e-7,4.197283250202061,0.06805155773628167,0.7845004139781704,-0.5152954566073346,0.011776890008427942,0.41784610451425214,-0.8332245373869842,0.3198455238719643,1,-0.31792908077964965,8
AT3G48060.3,NA,3,17742989,17748780,-,5791,protein_coding,BAH and TFIIS domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LTA1],8.37826023890824,8.295754966146415,8.826721385511442,8.569962644465958,8.025068089941243,8.783822806162412,8.394771335818707,8.285213700816922,8.620566807434457,8.869116624353495,8.163303471743507,8.779969252922053,8.366281877454387,7.010787332320733,8.224873650789982,8.46465297393862,8.236356766607137e-9,1.6922183288191975e-5,2.3040757222131494,8.141684465504321e-8,1.3239631507750875e-4,2.101724891258742,5.165258232651582e-7,7.799539931303888e-4,2.1756419076013405,0.36054323415175094,1,0.20235083095440742,0.6194875084661635,1,0.12843381461180883,0.7684464466960477,1,-0.07391701634259859,8
AT1G28370.2,ERF11,1,9955816,9956980,-,1164,protein_coding,ERF domain protein 11 [Source:TAIR;Acc:AT1G28370],7.497833668696191,8.154671193250309,8.9497622399806,7.5259462427437125,8.903088909906868,8.90308254605688,8.756985124457378,7.440121285793613,9.067222059564042,8.958893667494616,7.9208294440332505,8.251847916963241,8.321747146830047,5.1565877498094785,8.090229060456622,8.291487447324164,1.4240151464319512e-8,2.6713285873023028e-5,7.097869108314228,1.2907811732695823e-10,4.701875375354861e-7,8.031935980532444,3.4331126473156144e-9,1.3195636611682198e-5,7.829310078112173,0.005494407136309898,0.18874338399938445,-0.9340668722182164,0.06701873922667734,1,-0.7314409697979453,0.59885305558708,1,0.20262590242027118,2
AT5G52310.1,RD29A,5,21240717,21243644,+,2927,protein_coding,Low-temperature-induced 78 kDa protein [Source:UniProtKB/Swiss-Prot;Acc:Q06738],5.626559325652416,5.526451020842309,6.928947310425108,4.892206942135484,6.529134769353211,6.139285699419422,5.8947628857204135,5.1170243443212975,7.782057202323579,7.65108295162724,4.837100712117491,5.2466992726861745,4.7362084041216495,6.085683117496949,5.2255400546321615,5.422368093452013,5.321483036503621e-8,8.830796426653278e-5,-2.9571724249244453,1.1267661584860884e-5,0.005392897769070824,-2.310039478078745,1.2245215453533697e-7,2.465370044644784e-4,-3.1812815395102145,0.04698562900550669,0.6775029939550229,-0.6471329468457001,0.5701779658635315,1,0.22410911458576926,0.022527893470034935,0.4877240033454741,0.8712420614314694,9
AT4G12020.4,WRKY19,4,7201522,7209692,+,8170,protein_coding,Probable WRKY transcription factor 19 [Source:UniProtKB/Swiss-Prot;Acc:Q9SZ67],6.804564050078852,7.268182231800109,6.423211637218239,7.151741546330465,7.405673262982717,7.53924154134364,7.399443579421379,7.366866190477235,7.298022290708989,7.86672048700871,7.241435996668905,7.214336280499347,5.8818263489522655,5.091413697762046,7.0394511802725255,6.894972483150616,5.080285356112438e-7,5.768262946705979e-4,5.305413537860985,9.065592459811323e-9,1.9164662460041136e-5,5.999207175559237,2.8460342023148554e-7,4.832076953163316e-4,5.81252129271736,0.1363211796098841,0.961343557526905,-0.6937936376982521,0.35501857368624307,1,-0.5071077548563749,0.7245949881334525,1,0.1866858828418772,2
AT5G64570.1,BXL4,5,25809975,25813648,-,3673,protein_coding,Beta-D-xylosidase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLG1],6.871796535191394,6.626634229389993,6.705585305310594,6.403720349105587,7.115152933712894,6.925252677396498,6.683368401018529,6.605267624881029,6.779166030126981,6.358310373923229,6.577256721988281,6.571778245394523,6.98187649416862,7.157036488777973,6.879983279115244,6.691000641648348,1.147518038167162e-6,0.0011632365770793155,-1.2036842197748823,0.0015384968427884494,0.11783993933531818,-0.7593752587167668,1.3494918190111912e-4,0.033270657136975655,-1.0290080534996684,0.004122146806250576,0.15332253974352358,-0.4443089610581155,0.346492682515356,1,-0.17467616627521376,0.12539360241252243,1,0.26963279478290175,9
